# ---------------------------------- WARNING ----------------------------------------
# Some of the data that you have obtained from this U.S. Geological Survey database
# may not have received Director's approval. Any such data values are qualified
# as provisional and are subject to revision. Provisional data are released on the
# condition that neither the USGS nor the United States Government may be held liable
# for any damages resulting from its use.
#
# Additional info: https://waterdata.usgs.gov/provisional-data-statement/
#
# File-format description:  https://help.waterdata.usgs.gov/faq/about-tab-delimited-output
# Automated-retrieval info: https://help.waterdata.usgs.gov/faq/automated-retrievals
#
# Contact:   gs-w_waterdata_support@usgs.gov
# retrieved: 2024-03-26 17:28:17 EDT       (sdww01)
#
# Data for the following 1 site(s) are contained in this file
#    USGS 02037500 JAMES RIVER NEAR RICHMOND, VA
# -----------------------------------------------------------------------------------
#
# Data provided for site 02037500
#            TS   parameter     statistic     Description
#        145310       00060     00003     Discharge, cubic feet per second (Mean)
#
# Data-value qualification codes included in this output:
#     A  Approved for publication -- Processing and review completed.
#     P  Provisional data subject to revision.
#     e  Value has been estimated.
# 
agency_cd	site_no	datetime	145310_00060_00003	145310_00060_00003_cd
5s	15s	20d	14n	10s
USGS	02037500	2020-01-01	4790	A
USGS	02037500	2020-01-02	4380	A
USGS	02037500	2020-01-03	3970	A
USGS	02037500	2020-01-04	3900	A
USGS	02037500	2020-01-05	4120	A
USGS	02037500	2020-01-06	4130	A
USGS	02037500	2020-01-07	3990	A
USGS	02037500	2020-01-08	3970	A
USGS	02037500	2020-01-09	4090	A
USGS	02037500	2020-01-10	4110	A
USGS	02037500	2020-01-11	3900	A
USGS	02037500	2020-01-12	3980	A
USGS	02037500	2020-01-13	8300	A
USGS	02037500	2020-01-14	14300	A
USGS	02037500	2020-01-15	17700	A
USGS	02037500	2020-01-16	14300	A
USGS	02037500	2020-01-17	10800	A
USGS	02037500	2020-01-18	8820	A
USGS	02037500	2020-01-19	7600	A
USGS	02037500	2020-01-20	6950	A
USGS	02037500	2020-01-21	6290	A
USGS	02037500	2020-01-22	5630	A
USGS	02037500	2020-01-23	5250	A
USGS	02037500	2020-01-24	4850	A
USGS	02037500	2020-01-25	6390	A
USGS	02037500	2020-01-26	22700	A
USGS	02037500	2020-01-27	26100	A
USGS	02037500	2020-01-28	19800	A
USGS	02037500	2020-01-29	14300	A
USGS	02037500	2020-01-30	11200	A
USGS	02037500	2020-01-31	9460	A
USGS	02037500	2020-02-01	8450	A
USGS	02037500	2020-02-02	7600	A
USGS	02037500	2020-02-03	6950	A
USGS	02037500	2020-02-04	6370	A
USGS	02037500	2020-02-05	5970	A
USGS	02037500	2020-02-06	6050	A
USGS	02037500	2020-02-07	20200	A
USGS	02037500	2020-02-08	46000	A
USGS	02037500	2020-02-09	49300	A
USGS	02037500	2020-02-10	30300	A
USGS	02037500	2020-02-11	23600	A
USGS	02037500	2020-02-12	22600	A
USGS	02037500	2020-02-13	21100	A
USGS	02037500	2020-02-14	21700	A
USGS	02037500	2020-02-15	22300	A
USGS	02037500	2020-02-16	21100	A
USGS	02037500	2020-02-17	17300	A
USGS	02037500	2020-02-18	14200	A
USGS	02037500	2020-02-19	12200	A
USGS	02037500	2020-02-20	10800	A
USGS	02037500	2020-02-21	9420	A
USGS	02037500	2020-02-22	8380	A
USGS	02037500	2020-02-23	7580	A
USGS	02037500	2020-02-24	7070	A
USGS	02037500	2020-02-25	6850	A
USGS	02037500	2020-02-26	6810	A
USGS	02037500	2020-02-27	6760	A
USGS	02037500	2020-02-28	7250	A
USGS	02037500	2020-02-29	6650	A
USGS	02037500	2020-03-01	6130	A
USGS	02037500	2020-03-02	6120	A
USGS	02037500	2020-03-03	5810	A
USGS	02037500	2020-03-04	5640	A
USGS	02037500	2020-03-05	5590	A
USGS	02037500	2020-03-06	5410	A
USGS	02037500	2020-03-07	5180	A
USGS	02037500	2020-03-08	5030	A
USGS	02037500	2020-03-09	4780	A
USGS	02037500	2020-03-10	4590	A
USGS	02037500	2020-03-11	4570	A
USGS	02037500	2020-03-12	4490	A
USGS	02037500	2020-03-13	4450	A
USGS	02037500	2020-03-14	4350	A
USGS	02037500	2020-03-15	4520	A
USGS	02037500	2020-03-16	4480	A
USGS	02037500	2020-03-17	5200	A
USGS	02037500	2020-03-18	5380	A
USGS	02037500	2020-03-19	6020	A
USGS	02037500	2020-03-20	6230	A
USGS	02037500	2020-03-21	6340	A
USGS	02037500	2020-03-22	6710	A
USGS	02037500	2020-03-23	7670	A
USGS	02037500	2020-03-24	8260	A
USGS	02037500	2020-03-25	8760	A
USGS	02037500	2020-03-26	9760	A
USGS	02037500	2020-03-27	11700	A
USGS	02037500	2020-03-28	13500	A
USGS	02037500	2020-03-29	11100	A
USGS	02037500	2020-03-30	9470	A
USGS	02037500	2020-03-31	8330	A
USGS	02037500	2020-04-01	7720	A
USGS	02037500	2020-04-02	7620	A
USGS	02037500	2020-04-03	7200	A
USGS	02037500	2020-04-04	7090	A
USGS	02037500	2020-04-05	6650	A
USGS	02037500	2020-04-06	6290	A
USGS	02037500	2020-04-07	6010	A
USGS	02037500	2020-04-08	5820	A
USGS	02037500	2020-04-09	5620	A
USGS	02037500	2020-04-10	5410	A
USGS	02037500	2020-04-11	5150	A
USGS	02037500	2020-04-12	5020	A
USGS	02037500	2020-04-13	6720	A
USGS	02037500	2020-04-14	53300	A
USGS	02037500	2020-04-15	57500	A
USGS	02037500	2020-04-16	36400	A
USGS	02037500	2020-04-17	25200	A
USGS	02037500	2020-04-18	20400	A
USGS	02037500	2020-04-19	16800	A
USGS	02037500	2020-04-20	13500	A
USGS	02037500	2020-04-21	11600	A
USGS	02037500	2020-04-22	10300	A
USGS	02037500	2020-04-23	9210	A
USGS	02037500	2020-04-24	9030	A
USGS	02037500	2020-04-25	12800	A
USGS	02037500	2020-04-26	14000	A
USGS	02037500	2020-04-27	21600	A
USGS	02037500	2020-04-28	18200	A
USGS	02037500	2020-04-29	16300	A
USGS	02037500	2020-04-30	15000	A
USGS	02037500	2020-05-01	32900	A
USGS	02037500	2020-05-02	50600	A
USGS	02037500	2020-05-03	32000	A
USGS	02037500	2020-05-04	23800	A
USGS	02037500	2020-05-05	20200	A
USGS	02037500	2020-05-06	16800	A
USGS	02037500	2020-05-07	14600	A
USGS	02037500	2020-05-08	12400	A
USGS	02037500	2020-05-09	10700	A
USGS	02037500	2020-05-10	9620	A
USGS	02037500	2020-05-11	8680	A
USGS	02037500	2020-05-12	8140	A
USGS	02037500	2020-05-13	7420	A
USGS	02037500	2020-05-14	6920	A
USGS	02037500	2020-05-15	6580	A
USGS	02037500	2020-05-16	6230	A
USGS	02037500	2020-05-17	5930	A
USGS	02037500	2020-05-18	6140	A
USGS	02037500	2020-05-19	10800	A
USGS	02037500	2020-05-20	12700	A
USGS	02037500	2020-05-21	18000	A
USGS	02037500	2020-05-22	30600	A
USGS	02037500	2020-05-23	55100	A
USGS	02037500	2020-05-24	48100	A
USGS	02037500	2020-05-25	28000	A
USGS	02037500	2020-05-26	23600	A
USGS	02037500	2020-05-27	20400	A
USGS	02037500	2020-05-28	16900	A
USGS	02037500	2020-05-29	14600	A
USGS	02037500	2020-05-30	15800	A
USGS	02037500	2020-05-31	15900	A
USGS	02037500	2020-06-01	13900	A
USGS	02037500	2020-06-02	11500	A
USGS	02037500	2020-06-03	9890	A
USGS	02037500	2020-06-04	8620	A
USGS	02037500	2020-06-05	7320	A
USGS	02037500	2020-06-06	6810	A
USGS	02037500	2020-06-07	6280	A
USGS	02037500	2020-06-08	6460	A
USGS	02037500	2020-06-09	6770	A
USGS	02037500	2020-06-10	5870	A
USGS	02037500	2020-06-11	5290	A
USGS	02037500	2020-06-12	5360	A
USGS	02037500	2020-06-13	4910	A
USGS	02037500	2020-06-14	5170	A
USGS	02037500	2020-06-15	4710	A
USGS	02037500	2020-06-16	4340	A
USGS	02037500	2020-06-17	4960	A
USGS	02037500	2020-06-18	9540	A
USGS	02037500	2020-06-19	34600	A
USGS	02037500	2020-06-20	39200	A
USGS	02037500	2020-06-21	28700	A
USGS	02037500	2020-06-22	20100	A
USGS	02037500	2020-06-23	16900	A
USGS	02037500	2020-06-24	15400	A
USGS	02037500	2020-06-25	12600	A
USGS	02037500	2020-06-26	11200	A
USGS	02037500	2020-06-27	8580	A
USGS	02037500	2020-06-28	6850	A
USGS	02037500	2020-06-29	5790	A
USGS	02037500	2020-06-30	5090	A
USGS	02037500	2020-07-01	4780	A
USGS	02037500	2020-07-02	4580	A
USGS	02037500	2020-07-03	4320	A
USGS	02037500	2020-07-04	3930	A
USGS	02037500	2020-07-05	3450	A
USGS	02037500	2020-07-06	3160	A
USGS	02037500	2020-07-07	3110	A
USGS	02037500	2020-07-08	3020	A
USGS	02037500	2020-07-09	3120	A
USGS	02037500	2020-07-10	2850	A
USGS	02037500	2020-07-11	2700	A
USGS	02037500	2020-07-12	2550	A
USGS	02037500	2020-07-13	2760	A
USGS	02037500	2020-07-14	2570	A
USGS	02037500	2020-07-15	2250	A
USGS	02037500	2020-07-16	2230	A
USGS	02037500	2020-07-17	2080	A
USGS	02037500	2020-07-18	1950	A
USGS	02037500	2020-07-19	1980	A
USGS	02037500	2020-07-20	1950	A
USGS	02037500	2020-07-21	1760	A
USGS	02037500	2020-07-22	1730	A
USGS	02037500	2020-07-23	1700	A
USGS	02037500	2020-07-24	1810	A
USGS	02037500	2020-07-25	2790	A
USGS	02037500	2020-07-26	3640	A
USGS	02037500	2020-07-27	2860	A
USGS	02037500	2020-07-28	2310	A
USGS	02037500	2020-07-29	1990	A
USGS	02037500	2020-07-30	1850	A
USGS	02037500	2020-07-31	1960	A
USGS	02037500	2020-08-01	2460	A
USGS	02037500	2020-08-02	2960	A
USGS	02037500	2020-08-03	2830	A
USGS	02037500	2020-08-04	4720	A
USGS	02037500	2020-08-05	6320	A
USGS	02037500	2020-08-06	5130	A
USGS	02037500	2020-08-07	6010	A
USGS	02037500	2020-08-08	6470	A
USGS	02037500	2020-08-09	4810	A
USGS	02037500	2020-08-10	4230	A
USGS	02037500	2020-08-11	4250	A
USGS	02037500	2020-08-12	4400	A
USGS	02037500	2020-08-13	4080	A
USGS	02037500	2020-08-14	5390	A
USGS	02037500	2020-08-15	10700	A
USGS	02037500	2020-08-16	21400	A
USGS	02037500	2020-08-17	14200	A
USGS	02037500	2020-08-18	18600	A
USGS	02037500	2020-08-19	13500	A
USGS	02037500	2020-08-20	9970	A
USGS	02037500	2020-08-21	7740	A
USGS	02037500	2020-08-22	6390	A
USGS	02037500	2020-08-23	5840	A
USGS	02037500	2020-08-24	6390	A
USGS	02037500	2020-08-25	7430	A
USGS	02037500	2020-08-26	6520	A
USGS	02037500	2020-08-27	5620	A
USGS	02037500	2020-08-28	4320	A
USGS	02037500	2020-08-29	3720	A
USGS	02037500	2020-08-30	3520	A
USGS	02037500	2020-08-31	3450	A
USGS	02037500	2020-09-01	20800	A
USGS	02037500	2020-09-02	27400	A
USGS	02037500	2020-09-03	17800	A
USGS	02037500	2020-09-04	14700	A
USGS	02037500	2020-09-05	11100	A
USGS	02037500	2020-09-06	8580	A
USGS	02037500	2020-09-07	6550	A
USGS	02037500	2020-09-08	5580	A
USGS	02037500	2020-09-09	4780	A
USGS	02037500	2020-09-10	4170	A
USGS	02037500	2020-09-11	3930	A
USGS	02037500	2020-09-12	3760	A
USGS	02037500	2020-09-13	3480	A
USGS	02037500	2020-09-14	3190	A
USGS	02037500	2020-09-15	3100	A
USGS	02037500	2020-09-16	2820	A
USGS	02037500	2020-09-17	2920	A
USGS	02037500	2020-09-18	3940	A
USGS	02037500	2020-09-19	6960	A
USGS	02037500	2020-09-20	5700	A
USGS	02037500	2020-09-21	3720	A
USGS	02037500	2020-09-22	3030	A
USGS	02037500	2020-09-23	2720	A
USGS	02037500	2020-09-24	2650	A
USGS	02037500	2020-09-25	2570	A
USGS	02037500	2020-09-26	3560	A
USGS	02037500	2020-09-27	6080	A
USGS	02037500	2020-09-28	6660	A
USGS	02037500	2020-09-29	4520	A
USGS	02037500	2020-09-30	7130	A
USGS	02037500	2020-10-01	9820	A
USGS	02037500	2020-10-02	7210	A
USGS	02037500	2020-10-03	6880	A
USGS	02037500	2020-10-04	5900	A
USGS	02037500	2020-10-05	4580	A
USGS	02037500	2020-10-06	3900	A
USGS	02037500	2020-10-07	3490	A
USGS	02037500	2020-10-08	3210	A
USGS	02037500	2020-10-09	2980	A
USGS	02037500	2020-10-10	2920	A
USGS	02037500	2020-10-11	2870	A
USGS	02037500	2020-10-12	5320	A
USGS	02037500	2020-10-13	15600	A
USGS	02037500	2020-10-14	11000	A
USGS	02037500	2020-10-15	7300	A
USGS	02037500	2020-10-16	7060	A
USGS	02037500	2020-10-17	6790	A
USGS	02037500	2020-10-18	5920	A
USGS	02037500	2020-10-19	4620	A
USGS	02037500	2020-10-20	4140	A
USGS	02037500	2020-10-21	3880	A
USGS	02037500	2020-10-22	3750	A
USGS	02037500	2020-10-23	3590	A
USGS	02037500	2020-10-24	3440	A
USGS	02037500	2020-10-25	3650	A
USGS	02037500	2020-10-26	4200	A
USGS	02037500	2020-10-27	5520	A
USGS	02037500	2020-10-28	5070	A
USGS	02037500	2020-10-29	5270	A
USGS	02037500	2020-10-30	38800	A
USGS	02037500	2020-10-31	59600	A
USGS	02037500	2020-11-01	30300	A
USGS	02037500	2020-11-02	24000	A
USGS	02037500	2020-11-03	18400	A
USGS	02037500	2020-11-04	13500	A
USGS	02037500	2020-11-05	10800	A
USGS	02037500	2020-11-06	9020	A
USGS	02037500	2020-11-07	7770	A
USGS	02037500	2020-11-08	6960	A
USGS	02037500	2020-11-09	6340	A
USGS	02037500	2020-11-10	5780	A
USGS	02037500	2020-11-11	6080	A
USGS	02037500	2020-11-12	54200	A
USGS	02037500	2020-11-13	99300	A
USGS	02037500	2020-11-14	95100	A
USGS	02037500	2020-11-15	40600	A
USGS	02037500	2020-11-16	24400	A
USGS	02037500	2020-11-17	19000	A
USGS	02037500	2020-11-18	15500	A
USGS	02037500	2020-11-19	13100	A
USGS	02037500	2020-11-20	11200	A
USGS	02037500	2020-11-21	9580	A
USGS	02037500	2020-11-22	8500	A
USGS	02037500	2020-11-23	7720	A
USGS	02037500	2020-11-24	7150	A
USGS	02037500	2020-11-25	6660	A
USGS	02037500	2020-11-26	6320	A
USGS	02037500	2020-11-27	6140	A
USGS	02037500	2020-11-28	5860	A
USGS	02037500	2020-11-29	5560	A
USGS	02037500	2020-11-30	7200	A
USGS	02037500	2020-12-01	42100	A
USGS	02037500	2020-12-02	26800	A
USGS	02037500	2020-12-03	18700	A
USGS	02037500	2020-12-04	14900	A
USGS	02037500	2020-12-05	23600	A
USGS	02037500	2020-12-06	41100	A
USGS	02037500	2020-12-07	27700	A
USGS	02037500	2020-12-08	21800	A
USGS	02037500	2020-12-09	17300	A
USGS	02037500	2020-12-10	14400	A
USGS	02037500	2020-12-11	12400	A
USGS	02037500	2020-12-12	11100	A
USGS	02037500	2020-12-13	10200	A
USGS	02037500	2020-12-14	11200	A
USGS	02037500	2020-12-15	21200	A
USGS	02037500	2020-12-16	19900	A
USGS	02037500	2020-12-17	32500	A
USGS	02037500	2020-12-18	30500	A
USGS	02037500	2020-12-19	22000	A
USGS	02037500	2020-12-20	19500	A
USGS	02037500	2020-12-21	16900	A
USGS	02037500	2020-12-22	14900	A
USGS	02037500	2020-12-23	13300	A
USGS	02037500	2020-12-24	12600	A
USGS	02037500	2020-12-25	40700	A
USGS	02037500	2020-12-26	47300	A
USGS	02037500	2020-12-27	33400	A
USGS	02037500	2020-12-28	25800	A
USGS	02037500	2020-12-29	21700	A
USGS	02037500	2020-12-30	18500	A
USGS	02037500	2020-12-31	15400	A
USGS	02037500	2021-01-01	13700	A
USGS	02037500	2021-01-02	15300	A
USGS	02037500	2021-01-03	21100	A
USGS	02037500	2021-01-04	26000	A
USGS	02037500	2021-01-05	22200	A
USGS	02037500	2021-01-06	18700	A
USGS	02037500	2021-01-07	17200	A
USGS	02037500	2021-01-08	15300	A
USGS	02037500	2021-01-09	13400	A
USGS	02037500	2021-01-10	11900	A
USGS	02037500	2021-01-11	11000	A
USGS	02037500	2021-01-12	10300	A
USGS	02037500	2021-01-13	9760	A
USGS	02037500	2021-01-14	9150	A
USGS	02037500	2021-01-15	8650	A
USGS	02037500	2021-01-16	8460	A
USGS	02037500	2021-01-17	8300	A
USGS	02037500	2021-01-18	7910	A
USGS	02037500	2021-01-19	7590	A
USGS	02037500	2021-01-20	7120	A
USGS	02037500	2021-01-21	6940	A
USGS	02037500	2021-01-22	6710	A
USGS	02037500	2021-01-23	6390	A
USGS	02037500	2021-01-24	6180	A
USGS	02037500	2021-01-25	6020	A
USGS	02037500	2021-01-26	7660	A
USGS	02037500	2021-01-27	13800	A
USGS	02037500	2021-01-28	22400	A
USGS	02037500	2021-01-29	19100	A
USGS	02037500	2021-01-30	15000	A
USGS	02037500	2021-01-31	13100	A
USGS	02037500	2021-02-01	12400	A
USGS	02037500	2021-02-02	11900	A
USGS	02037500	2021-02-03	11700	A
USGS	02037500	2021-02-04	11400	A
USGS	02037500	2021-02-05	10400	A
USGS	02037500	2021-02-06	9800	A
USGS	02037500	2021-02-07	10000	A
USGS	02037500	2021-02-08	12700	A
USGS	02037500	2021-02-09	12800	A
USGS	02037500	2021-02-10	11300	A
USGS	02037500	2021-02-11	10400	A
USGS	02037500	2021-02-12	10800	A
